date,unemployment benefits,isPartial
2014-01-05,100,False
2014-01-12,98,False
2014-01-19,69,False
2014-01-26,85,False
2014-02-02,88,False
2014-02-09,66,False
2014-02-16,46,False
2014-02-23,56,False
2014-03-02,50,False
2014-03-09,56,False
2014-03-16,45,False
2014-03-23,55,False
2014-03-30,57,False
2014-04-06,62,False
2014-04-13,47,False
2014-04-20,42,False
2014-04-27,49,False
2014-05-04,41,False
2014-05-11,38,False
2014-05-18,39,False
2014-05-25,33,False
2014-06-01,34,False
2014-06-08,32,False
2014-06-15,31,False
2014-06-22,29,False
2014-06-29,26,False
2014-07-06,28,False
2014-07-13,23,False
2014-07-20,24,False
2014-07-27,22,False
2014-08-03,21,False
2014-08-10,18,False
2014-08-17,21,False
2014-08-24,24,False
2014-08-31,23,False
2014-09-07,23,False
2014-09-14,22,False
2014-09-21,19,False
2014-09-28,20,False
2014-10-05,19,False
2014-10-12,21,False
2014-10-19,21,False
2014-10-26,21,False
2014-11-02,22,False
2014-11-09,19,False
2014-11-16,18,False
2014-11-23,15,False
2014-11-30,18,False
2014-12-07,19,False
2014-12-14,17,False
2014-12-21,15,False
2014-12-28,17,False
2015-01-04,22,False
2015-01-11,19,False
2015-01-18,20,False
2015-01-25,20,False
2015-02-01,17,False
2015-02-08,18,False
2015-02-15,17,False
2015-02-22,18,False
2015-03-01,18,False
2015-03-08,19,False
2015-03-15,19,False
2015-03-22,18,False
2015-03-29,17,False
2015-04-05,15,False
2015-04-12,18,False
2015-04-19,15,False
2015-04-26,13,False
2015-05-03,13,False
2015-05-10,14,False
2015-05-17,14,False
2015-05-24,15,False
2015-05-31,15,False
2015-06-07,15,False
2015-06-14,15,False
2015-06-21,16,False
2015-06-28,17,False
2015-07-05,19,False
2015-07-12,17,False
2015-07-19,18,False
2015-07-26,19,False
2015-08-02,18,False
2015-08-09,18,False
2015-08-16,17,False
2015-08-23,18,False
2015-08-30,17,False
2015-09-06,15,False
2015-09-13,17,False
2015-09-20,17,False
2015-09-27,16,False
2015-10-04,16,False
2015-10-11,16,False
2015-10-18,14,False
2015-10-25,14,False
2015-11-01,16,False
2015-11-08,17,False
2015-11-15,17,False
2015-11-22,14,False
2015-11-29,16,False
2015-12-06,17,False
2015-12-13,17,False
2015-12-20,15,False
2015-12-27,16,False
2016-01-03,19,False
2016-01-10,23,False
2016-01-17,20,False
2016-01-24,19,False
2016-01-31,18,False
2016-02-07,17,False
2016-02-14,18,False
2016-02-21,18,False
2016-02-28,17,False
2016-03-06,16,False
2016-03-13,17,False
2016-03-20,15,False
2016-03-27,14,False
2016-04-03,15,False
2016-04-10,15,False
2016-04-17,15,False
2016-04-24,16,False
2016-05-01,17,False
2016-05-08,16,False
2016-05-15,16,False
2016-05-22,17,False
2016-05-29,18,False
2016-06-05,16,False
2016-06-12,15,False
2016-06-19,17,False
2016-06-26,16,False
2016-07-03,16,False
2016-07-10,16,False
2016-07-17,16,False
2016-07-24,15,False
2016-07-31,14,False
2016-08-07,15,False
2016-08-14,13,False
2016-08-21,15,False
2016-08-28,14,False
2016-09-04,14,False
2016-09-11,13,False
2016-09-18,15,False
2016-09-25,14,False
2016-10-02,15,False
2016-10-09,16,False
2016-10-16,18,False
2016-10-23,15,False
2016-10-30,15,False
2016-11-06,13,False
2016-11-13,16,False
2016-11-20,12,False
2016-11-27,16,False
2016-12-04,16,False
2016-12-11,14,False
2016-12-18,14,False
2016-12-25,15,False
2017-01-01,17,False
2017-01-08,15,False
2017-01-15,15,False
2017-01-22,15,False
2017-01-29,16,False
2017-02-05,15,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,16,False
2017-03-05,16,False
