date,unemployment number
2010-01-03,49
2010-01-10,54
2010-01-17,46
2010-01-24,46
2010-01-31,43
2010-02-07,38
2010-02-14,40
2010-02-21,40
2010-02-28,39
2010-03-07,35
2010-03-14,35
2010-03-21,34
2010-03-28,38
2010-04-04,36
2010-04-11,37
2010-04-18,35
2010-04-25,37
2010-05-02,32
2010-05-09,33
2010-05-16,31
2010-05-23,32
2010-05-30,35
2010-06-06,35
2010-06-13,36
2010-06-20,37
2010-06-27,41
2010-07-04,51
2010-07-11,44
2010-07-18,55
2010-07-25,51
2010-08-01,51
2010-08-08,44
2010-08-15,40
2010-08-22,42
2010-08-29,37
2010-09-05,38
2010-09-12,41
2010-09-19,38
2010-09-26,38
2010-10-03,39
2010-10-10,34
2010-10-17,37
2010-10-24,37
2010-10-31,37
2010-11-07,38
2010-11-14,42
2010-11-21,31
2010-11-28,50
2010-12-05,47
2010-12-12,48
2010-12-19,46
2010-12-26,48
2011-01-02,67
2011-01-09,62
2011-01-16,64
2011-01-23,62
2011-01-30,60
2011-02-06,53
2011-02-13,46
2011-02-20,43
2011-02-27,47
2011-03-06,44
2011-03-13,37
2011-03-20,39
2011-03-27,47
2011-04-03,44
2011-04-10,48
2011-04-17,45
2011-04-24,45
2011-05-01,42
2011-05-08,42
2011-05-15,41
2011-05-22,45
2011-05-29,51
2011-06-05,51
2011-06-12,54
2011-06-19,51
2011-06-26,55
2011-07-03,56
2011-07-10,58
2011-07-17,57
2011-07-24,52
2011-07-31,55
2011-08-07,51
2011-08-14,50
2011-08-21,54
2011-08-28,52
2011-09-04,56
2011-09-11,57
2011-09-18,50
2011-09-25,55
2011-10-02,60
2011-10-09,55
2011-10-16,57
2011-10-23,54
2011-10-30,55
2011-11-06,55
2011-11-13,56
2011-11-20,48
2011-11-27,66
2011-12-04,62
2011-12-11,61
2011-12-18,58
2011-12-25,73
2012-01-01,81
2012-01-08,72
2012-01-15,79
2012-01-22,76
2012-01-29,69
2012-02-05,64
2012-02-12,57
2012-02-19,60
2012-02-26,58
2012-03-04,52
2012-03-11,58
2012-03-18,65
2012-03-25,54
2012-04-01,55
2012-04-08,61
2012-04-15,59
2012-04-22,56
2012-04-29,57
2012-05-06,58
2012-05-13,58
2012-05-20,56
2012-05-27,60
2012-06-03,57
2012-06-10,63
2012-06-17,63
2012-06-24,66
2012-07-01,72
2012-07-08,75
2012-07-15,71
2012-07-22,65
2012-07-29,64
2012-08-05,62
2012-08-12,69
2012-08-19,64
2012-08-26,63
2012-09-02,77
2012-09-09,68
2012-09-16,59
2012-09-23,64
2012-09-30,74
2012-10-07,67
2012-10-14,65
2012-10-21,58
2012-10-28,65
2012-11-04,74
2012-11-11,76
2012-11-18,53
2012-11-25,70
2012-12-02,68
2012-12-09,64
2012-12-16,71
2012-12-23,68
2012-12-30,90
2013-01-06,86
2013-01-13,76
2013-01-20,76
2013-01-27,68
2013-02-03,61
2013-02-10,62
2013-02-17,58
2013-02-24,51
2013-03-03,53
2013-03-10,57
2013-03-17,55
2013-03-24,55
2013-03-31,57
2013-04-07,54
2013-04-14,58
2013-04-21,57
2013-04-28,53
2013-05-05,56
2013-05-12,58
2013-05-19,56
2013-05-26,62
2013-06-02,59
2013-06-09,62
2013-06-16,65
2013-06-23,68
2013-06-30,68
2013-07-07,78
2013-07-14,67
2013-07-21,64
2013-07-28,66
2013-08-04,69
2013-08-11,58
2013-08-18,63
2013-08-25,63
2013-09-01,68
2013-09-08,68
2013-09-15,64
2013-09-22,65
2013-09-29,73
2013-10-06,71
2013-10-13,67
2013-10-20,69
2013-10-27,60
2013-11-03,67
2013-11-10,66
2013-11-17,64
2013-11-24,52
2013-12-01,77
2013-12-08,71
2013-12-15,71
2013-12-22,71
2013-12-29,86
2014-01-05,100
2014-01-12,83
2014-01-19,80
2014-01-26,88
2014-02-02,77
2014-02-09,61
2014-02-16,60
2014-02-23,56
2014-03-02,58
2014-03-09,58
2014-03-16,56
2014-03-23,54
2014-03-30,55
2014-04-06,56
2014-04-13,62
2014-04-20,55
2014-04-27,53
2014-05-04,49
2014-05-11,52
2014-05-18,57
2014-05-25,47
2014-06-01,51
2014-06-08,51
2014-06-15,49
2014-06-22,49
2014-06-29,51
2014-07-06,59
2014-07-13,52
2014-07-20,51
2014-07-27,50
2014-08-03,47
2014-08-10,49
2014-08-17,48
2014-08-24,43
2014-08-31,45
2014-09-07,48
2014-09-14,42
2014-09-21,46
2014-09-28,45
2014-10-05,43
2014-10-12,50
2014-10-19,49
2014-10-26,42
2014-11-02,53
2014-11-09,52
2014-11-16,53
2014-11-23,44
2014-11-30,58
2014-12-07,55
2014-12-14,56
2014-12-21,49
2014-12-28,63
