date,unemployed
2010-01-03,77
2010-01-10,80
2010-01-17,84
2010-01-24,81
2010-01-31,75
2010-02-07,66
2010-02-14,73
2010-02-21,79
2010-02-28,86
2010-03-07,91
2010-03-14,84
2010-03-21,100
2010-03-28,90
2010-04-04,80
2010-04-11,82
2010-04-18,87
2010-04-25,76
2010-05-02,69
2010-05-09,71
2010-05-16,69
2010-05-23,74
2010-05-30,72
2010-06-06,82
2010-06-13,94
2010-06-20,100
2010-06-27,96
2010-07-04,77
2010-07-11,84
2010-07-18,95
2010-07-25,80
2010-08-01,68
2010-08-08,72
2010-08-15,70
2010-08-22,61
2010-08-29,61
2010-09-05,55
2010-09-12,61
2010-09-19,63
2010-09-26,64
2010-10-03,62
2010-10-10,57
2010-10-17,58
2010-10-24,59
2010-10-31,61
2010-11-07,59
2010-11-14,73
2010-11-21,55
2010-11-28,72
2010-12-05,74
2010-12-12,67
2010-12-19,61
2010-12-26,47
2011-01-02,69
2011-01-09,65
2011-01-16,63
2011-01-23,73
2011-01-30,73
2011-02-06,74
2011-02-13,65
2011-02-20,61
2011-02-27,69
2011-03-06,58
2011-03-13,58
2011-03-20,60
2011-03-27,59
2011-04-03,66
2011-04-10,69
2011-04-17,62
2011-04-24,56
2011-05-01,56
2011-05-08,55
2011-05-15,56
2011-05-22,52
2011-05-29,53
2011-06-05,54
2011-06-12,58
2011-06-19,63
2011-06-26,54
2011-07-03,61
2011-07-10,61
2011-07-17,62
2011-07-24,67
2011-07-31,64
2011-08-07,66
2011-08-14,63
2011-08-21,61
2011-08-28,62
2011-09-04,76
2011-09-11,71
2011-09-18,64
2011-09-25,72
2011-10-02,73
2011-10-09,76
2011-10-16,71
2011-10-23,67
2011-10-30,68
2011-11-06,65
2011-11-13,63
2011-11-20,55
2011-11-27,70
2011-12-04,64
2011-12-11,68
2011-12-18,51
2011-12-25,43
2012-01-01,53
2012-01-08,58
2012-01-15,62
2012-01-22,75
2012-01-29,72
2012-02-05,63
2012-02-12,62
2012-02-19,60
2012-02-26,63
2012-03-04,55
2012-03-11,51
2012-03-18,52
2012-03-25,61
2012-04-01,53
2012-04-08,56
2012-04-15,57
2012-04-22,57
2012-04-29,54
2012-05-06,55
2012-05-13,57
2012-05-20,55
2012-05-27,49
2012-06-03,52
2012-06-10,48
2012-06-17,51
2012-06-24,56
2012-07-01,50
2012-07-08,52
2012-07-15,50
2012-07-22,55
2012-07-29,53
2012-08-05,51
2012-08-12,48
2012-08-19,52
2012-08-26,57
2012-09-02,69
2012-09-09,59
2012-09-16,58
2012-09-23,59
2012-09-30,70
2012-10-07,63
2012-10-14,73
2012-10-21,62
2012-10-28,58
2012-11-04,83
2012-11-11,63
2012-11-18,48
2012-11-25,59
2012-12-02,54
2012-12-09,55
2012-12-16,46
2012-12-23,37
2012-12-30,56
2013-01-06,57
2013-01-13,56
2013-01-20,52
2013-01-27,63
2013-02-03,56
2013-02-10,54
2013-02-17,51
2013-02-24,54
2013-03-03,51
2013-03-10,53
2013-03-17,49
2013-03-24,46
2013-03-31,50
2013-04-07,53
2013-04-14,48
2013-04-21,46
2013-04-28,52
2013-05-05,51
2013-05-12,43
2013-05-19,42
2013-05-26,42
2013-06-02,41
2013-06-09,42
2013-06-16,42
2013-06-23,43
2013-06-30,46
2013-07-07,41
2013-07-14,43
2013-07-21,45
2013-07-28,45
2013-08-04,42
2013-08-11,41
2013-08-18,46
2013-08-25,46
2013-09-01,43
2013-09-08,41
2013-09-15,50
2013-09-22,59
2013-09-29,76
2013-10-06,56
2013-10-13,55
2013-10-20,63
2013-10-27,56
2013-11-03,50
2013-11-10,51
2013-11-17,56
2013-11-24,42
2013-12-01,55
2013-12-08,58
2013-12-15,55
2013-12-22,47
2013-12-29,46
2014-01-05,60
2014-01-12,59
2014-01-19,58
2014-01-26,68
2014-02-02,60
2014-02-09,57
2014-02-16,54
2014-02-23,53
2014-03-02,51
2014-03-09,57
2014-03-16,59
2014-03-23,65
2014-03-30,65
2014-04-06,54
2014-04-13,47
2014-04-20,45
2014-04-27,49
2014-05-04,43
2014-05-11,43
2014-05-18,44
2014-05-25,40
2014-06-01,39
2014-06-08,38
2014-06-15,39
2014-06-22,34
2014-06-29,36
2014-07-06,39
2014-07-13,38
2014-07-20,38
2014-07-27,38
2014-08-03,36
2014-08-10,36
2014-08-17,51
2014-08-24,36
2014-08-31,34
2014-09-07,38
2014-09-14,38
2014-09-21,41
2014-09-28,41
2014-10-05,42
2014-10-12,42
2014-10-19,43
2014-10-26,40
2014-11-02,39
2014-11-09,42
2014-11-16,43
2014-11-23,36
2014-11-30,47
2014-12-07,47
2014-12-14,40
2014-12-21,28
2014-12-28,31
