date,texas unemployment
2008-01-06,20
2008-01-13,23
2008-01-20,20
2008-01-27,19
2008-02-03,18
2008-02-10,17
2008-02-17,15
2008-02-24,17
2008-03-02,16
2008-03-09,19
2008-03-16,16
2008-03-23,14
2008-03-30,16
2008-04-06,17
2008-04-13,22
2008-04-20,20
2008-04-27,20
2008-05-04,19
2008-05-11,19
2008-05-18,17
2008-05-25,19
2008-06-01,21
2008-06-08,25
2008-06-15,20
2008-06-22,16
2008-06-29,27
2008-07-06,23
2008-07-13,21
2008-07-20,24
2008-07-27,30
2008-08-03,24
2008-08-10,23
2008-08-17,27
2008-08-24,24
2008-08-31,24
2008-09-07,20
2008-09-14,38
2008-09-21,35
2008-09-28,30
2008-10-05,28
2008-10-12,35
2008-10-19,34
2008-10-26,23
2008-11-02,30
2008-11-09,27
2008-11-16,47
2008-11-23,27
2008-11-30,35
2008-12-07,35
2008-12-14,42
2008-12-21,31
2008-12-28,37
2009-01-04,57
2009-01-11,54
2009-01-18,50
2009-01-25,51
2009-02-01,60
2009-02-08,43
2009-02-15,52
2009-02-22,58
2009-03-01,56
2009-03-08,53
2009-03-15,48
2009-03-22,47
2009-03-29,52
2009-04-05,58
2009-04-12,55
2009-04-19,51
2009-04-26,57
2009-05-03,47
2009-05-10,45
2009-05-17,52
2009-05-24,45
2009-05-31,53
2009-06-07,52
2009-06-14,61
2009-06-21,60
2009-06-28,63
2009-07-05,64
2009-07-12,78
2009-07-19,64
2009-07-26,54
2009-08-02,56
2009-08-09,55
2009-08-16,57
2009-08-23,57
2009-08-30,57
2009-09-06,51
2009-09-13,55
2009-09-20,56
2009-09-27,60
2009-10-04,53
2009-10-11,60
2009-10-18,53
2009-10-25,55
2009-11-01,59
2009-11-08,61
2009-11-15,60
2009-11-22,44
2009-11-29,54
2009-12-06,48
2009-12-13,51
2009-12-20,45
2009-12-27,55
2010-01-03,57
2010-01-10,53
2010-01-17,56
2010-01-24,56
2010-01-31,50
2010-02-07,45
2010-02-14,52
2010-02-21,47
2010-02-28,52
2010-03-07,48
2010-03-14,42
2010-03-21,50
2010-03-28,46
2010-04-04,55
2010-04-11,61
2010-04-18,56
2010-04-25,47
2010-05-02,48
2010-05-09,47
2010-05-16,51
2010-05-23,56
2010-05-30,52
2010-06-06,56
2010-06-13,58
2010-06-20,58
2010-06-27,68
2010-07-04,63
2010-07-11,64
2010-07-18,100
2010-07-25,77
2010-08-01,61
2010-08-08,58
2010-08-15,58
2010-08-22,54
2010-08-29,50
2010-09-05,50
2010-09-12,49
2010-09-19,48
2010-09-26,51
2010-10-03,51
2010-10-10,49
2010-10-17,43
2010-10-24,51
2010-10-31,47
2010-11-07,48
2010-11-14,54
2010-11-21,42
2010-11-28,60
2010-12-05,63
2010-12-12,59
2010-12-19,50
2010-12-26,58
2011-01-02,72
2011-01-09,71
2011-01-16,69
2011-01-23,60
2011-01-30,55
2011-02-06,64
2011-02-13,59
2011-02-20,63
2011-02-27,66
2011-03-06,60
2011-03-13,45
2011-03-20,55
2011-03-27,61
2011-04-03,63
2011-04-10,59
2011-04-17,61
2011-04-24,52
2011-05-01,54
2011-05-08,59
2011-05-15,59
2011-05-22,57
2011-05-29,63
2011-06-05,68
2011-06-12,66
2011-06-19,63
2011-06-26,67
2011-07-03,71
2011-07-10,66
2011-07-17,67
2011-07-24,60
2011-07-31,69
2011-08-07,72
2011-08-14,73
2011-08-21,72
2011-08-28,68
2011-09-04,70
2011-09-11,67
2011-09-18,63
2011-09-25,66
2011-10-02,63
2011-10-09,64
2011-10-16,59
2011-10-23,58
2011-10-30,60
2011-11-06,57
2011-11-13,62
2011-11-20,49
2011-11-27,62
2011-12-04,62
2011-12-11,73
2011-12-18,64
2011-12-25,70
2012-01-01,77
2012-01-08,73
2012-01-15,72
2012-01-22,71
2012-01-29,66
2012-02-05,54
2012-02-12,54
2012-02-19,52
2012-02-26,56
2012-03-04,54
2012-03-11,51
2012-03-18,52
2012-03-25,50
2012-04-01,53
2012-04-08,51
2012-04-15,57
2012-04-22,55
2012-04-29,51
2012-05-06,54
2012-05-13,58
2012-05-20,54
2012-05-27,58
2012-06-03,54
2012-06-10,56
2012-06-17,51
2012-06-24,58
2012-07-01,55
2012-07-08,60
2012-07-15,55
2012-07-22,55
2012-07-29,55
2012-08-05,51
2012-08-12,55
2012-08-19,55
2012-08-26,50
2012-09-02,51
2012-09-09,49
2012-09-16,49
2012-09-23,48
2012-09-30,53
2012-10-07,56
2012-10-14,50
2012-10-21,52
2012-10-28,51
2012-11-04,55
2012-11-11,54
2012-11-18,46
2012-11-25,57
2012-12-02,54
2012-12-09,49
2012-12-16,48
2012-12-23,52
2012-12-30,74
