date,unemployed
2008-01-06,28
2008-01-13,21
2008-01-20,25
2008-01-27,28
2008-02-03,21
2008-02-10,28
2008-02-17,26
2008-02-24,27
2008-03-02,26
2008-03-09,26
2008-03-16,26
2008-03-23,30
2008-03-30,27
2008-04-06,24
2008-04-13,34
2008-04-20,30
2008-04-27,23
2008-05-04,30
2008-05-11,25
2008-05-18,23
2008-05-25,26
2008-06-01,27
2008-06-08,24
2008-06-15,24
2008-06-22,26
2008-06-29,28
2008-07-06,26
2008-07-13,23
2008-07-20,29
2008-07-27,22
2008-08-03,24
2008-08-10,23
2008-08-17,25
2008-08-24,26
2008-08-31,23
2008-09-07,26
2008-09-14,24
2008-09-21,34
2008-09-28,33
2008-10-05,28
2008-10-12,34
2008-10-19,37
2008-10-26,40
2008-11-02,36
2008-11-09,47
2008-11-16,42
2008-11-23,37
2008-11-30,47
2008-12-07,48
2008-12-14,39
2008-12-21,25
2008-12-28,33
2009-01-04,50
2009-01-11,54
2009-01-18,52
2009-01-25,65
2009-02-01,69
2009-02-08,76
2009-02-15,78
2009-02-22,76
2009-03-01,77
2009-03-08,82
2009-03-15,71
2009-03-22,67
2009-03-29,73
2009-04-05,69
2009-04-12,71
2009-04-19,64
2009-04-26,64
2009-05-03,55
2009-05-10,67
2009-05-17,59
2009-05-24,56
2009-05-31,63
2009-06-07,57
2009-06-14,56
2009-06-21,53
2009-06-28,61
2009-07-05,61
2009-07-12,69
2009-07-19,63
2009-07-26,68
2009-08-02,67
2009-08-09,60
2009-08-16,65
2009-08-23,56
2009-08-30,67
2009-09-06,61
2009-09-13,63
2009-09-20,69
2009-09-27,71
2009-10-04,66
2009-10-11,72
2009-10-18,67
2009-10-25,69
2009-11-01,75
2009-11-08,74
2009-11-15,75
2009-11-22,66
2009-11-29,76
2009-12-06,80
2009-12-13,63
2009-12-20,55
2009-12-27,53
2010-01-03,73
2010-01-10,76
2010-01-17,75
2010-01-24,80
2010-01-31,73
2010-02-07,66
2010-02-14,68
2010-02-21,82
2010-02-28,91
2010-03-07,85
2010-03-14,81
2010-03-21,100
2010-03-28,84
2010-04-04,83
2010-04-11,85
2010-04-18,76
2010-04-25,73
2010-05-02,67
2010-05-09,67
2010-05-16,68
2010-05-23,68
2010-05-30,69
2010-06-06,74
2010-06-13,90
2010-06-20,91
2010-06-27,98
2010-07-04,81
2010-07-11,80
2010-07-18,93
2010-07-25,80
2010-08-01,67
2010-08-08,72
2010-08-15,70
2010-08-22,60
2010-08-29,69
2010-09-05,58
2010-09-12,60
2010-09-19,66
2010-09-26,58
2010-10-03,63
2010-10-10,55
2010-10-17,57
2010-10-24,62
2010-10-31,58
2010-11-07,54
2010-11-14,65
2010-11-21,50
2010-11-28,72
2010-12-05,74
2010-12-12,69
2010-12-19,50
2010-12-26,52
2011-01-02,71
2011-01-09,67
2011-01-16,69
2011-01-23,71
2011-01-30,73
2011-02-06,70
2011-02-13,68
2011-02-20,62
2011-02-27,65
2011-03-06,56
2011-03-13,59
2011-03-20,62
2011-03-27,63
2011-04-03,62
2011-04-10,65
2011-04-17,62
2011-04-24,52
2011-05-01,52
2011-05-08,56
2011-05-15,53
2011-05-22,52
2011-05-29,50
2011-06-05,52
2011-06-12,61
2011-06-19,61
2011-06-26,54
2011-07-03,60
2011-07-10,57
2011-07-17,63
2011-07-24,66
2011-07-31,59
2011-08-07,57
2011-08-14,60
2011-08-21,61
2011-08-28,55
2011-09-04,74
2011-09-11,66
2011-09-18,62
2011-09-25,73
2011-10-02,69
2011-10-09,73
2011-10-16,60
2011-10-23,66
2011-10-30,66
2011-11-06,62
2011-11-13,60
2011-11-20,51
2011-11-27,66
2011-12-04,63
2011-12-11,59
2011-12-18,50
2011-12-25,44
2012-01-01,57
2012-01-08,60
2012-01-15,59
2012-01-22,70
2012-01-29,69
2012-02-05,62
2012-02-12,61
2012-02-19,60
2012-02-26,58
2012-03-04,59
2012-03-11,47
2012-03-18,49
2012-03-25,55
2012-04-01,49
2012-04-08,55
2012-04-15,57
2012-04-22,56
2012-04-29,55
2012-05-06,52
2012-05-13,50
2012-05-20,51
2012-05-27,48
2012-06-03,48
2012-06-10,52
2012-06-17,53
2012-06-24,56
2012-07-01,47
2012-07-08,52
2012-07-15,52
2012-07-22,50
2012-07-29,51
2012-08-05,47
2012-08-12,47
2012-08-19,46
2012-08-26,60
2012-09-02,67
2012-09-09,58
2012-09-16,61
2012-09-23,58
2012-09-30,73
2012-10-07,57
2012-10-14,73
2012-10-21,58
2012-10-28,57
2012-11-04,75
2012-11-11,58
2012-11-18,44
2012-11-25,56
2012-12-02,54
2012-12-09,55
2012-12-16,48
2012-12-23,35
2012-12-30,51
