date,unemployment oregon
2008-01-06,32
2008-01-13,26
2008-01-20,25
2008-01-27,28
2008-02-03,24
2008-02-10,24
2008-02-17,24
2008-02-24,23
2008-03-02,20
2008-03-09,21
2008-03-16,24
2008-03-23,22
2008-03-30,23
2008-04-06,20
2008-04-13,24
2008-04-20,21
2008-04-27,21
2008-05-04,24
2008-05-11,20
2008-05-18,17
2008-05-25,24
2008-06-01,24
2008-06-08,21
2008-06-15,23
2008-06-22,23
2008-06-29,27
2008-07-06,27
2008-07-13,27
2008-07-20,26
2008-07-27,26
2008-08-03,26
2008-08-10,26
2008-08-17,26
2008-08-24,25
2008-08-31,29
2008-09-07,29
2008-09-14,25
2008-09-21,29
2008-09-28,32
2008-10-05,29
2008-10-12,29
2008-10-19,32
2008-10-26,36
2008-11-02,33
2008-11-09,47
2008-11-16,48
2008-11-23,43
2008-11-30,57
2008-12-07,51
2008-12-14,53
2008-12-21,63
2008-12-28,74
2009-01-04,76
2009-01-11,73
2009-01-18,74
2009-01-25,65
2009-02-01,61
2009-02-08,59
2009-02-15,64
2009-02-22,63
2009-03-01,62
2009-03-08,67
2009-03-15,68
2009-03-22,60
2009-03-29,64
2009-04-05,60
2009-04-12,70
2009-04-19,58
2009-04-26,54
2009-05-03,53
2009-05-10,65
2009-05-17,58
2009-05-24,61
2009-05-31,56
2009-06-07,59
2009-06-14,67
2009-06-21,67
2009-06-28,65
2009-07-05,68
2009-07-12,62
2009-07-19,63
2009-07-26,56
2009-08-02,65
2009-08-09,61
2009-08-16,56
2009-08-23,55
2009-08-30,59
2009-09-06,64
2009-09-13,59
2009-09-20,54
2009-09-27,52
2009-10-04,100
2009-10-11,58
2009-10-18,60
2009-10-25,61
2009-11-01,62
2009-11-08,67
2009-11-15,64
2009-11-22,58
2009-11-29,66
2009-12-06,63
2009-12-13,65
2009-12-20,62
2009-12-27,90
2010-01-03,84
2010-01-10,72
2010-01-17,80
2010-01-24,73
2010-01-31,62
2010-02-07,67
2010-02-14,68
2010-02-21,59
2010-02-28,64
2010-03-07,57
2010-03-14,60
2010-03-21,64
2010-03-28,66
2010-04-04,62
2010-04-11,63
2010-04-18,60
2010-04-25,61
2010-05-02,58
2010-05-09,57
2010-05-16,57
2010-05-23,59
2010-05-30,64
2010-06-06,62
2010-06-13,64
2010-06-20,68
2010-06-27,65
2010-07-04,64
2010-07-11,64
2010-07-18,65
2010-07-25,57
2010-08-01,60
2010-08-08,55
2010-08-15,53
2010-08-22,51
2010-08-29,49
2010-09-05,56
2010-09-12,47
2010-09-19,41
2010-09-26,46
2010-10-03,43
2010-10-10,51
2010-10-17,48
2010-10-24,49
2010-10-31,48
2010-11-07,46
2010-11-14,48
2010-11-21,45
2010-11-28,58
2010-12-05,51
2010-12-12,51
2010-12-19,67
2010-12-26,64
2011-01-02,79
2011-01-09,75
2011-01-16,80
2011-01-23,66
2011-01-30,64
2011-02-06,60
2011-02-13,59
2011-02-20,58
2011-02-27,55
2011-03-06,52
2011-03-13,51
2011-03-20,58
2011-03-27,56
2011-04-03,53
2011-04-10,58
2011-04-17,59
2011-04-24,57
2011-05-01,57
2011-05-08,56
2011-05-15,50
2011-05-22,54
2011-05-29,59
2011-06-05,54
2011-06-12,57
2011-06-19,59
2011-06-26,56
2011-07-03,59
2011-07-10,60
2011-07-17,54
2011-07-24,54
2011-07-31,54
2011-08-07,52
2011-08-14,55
2011-08-21,49
2011-08-28,50
2011-09-04,57
2011-09-11,54
2011-09-18,50
2011-09-25,52
2011-10-02,53
2011-10-09,53
2011-10-16,50
2011-10-23,48
2011-10-30,51
2011-11-06,48
2011-11-13,56
2011-11-20,52
2011-11-27,57
2011-12-04,56
2011-12-11,57
2011-12-18,55
2011-12-25,68
2012-01-01,71
2012-01-08,61
2012-01-15,72
2012-01-22,65
2012-01-29,59
2012-02-05,63
2012-02-12,69
2012-02-19,73
2012-02-26,58
2012-03-04,52
2012-03-11,65
2012-03-18,63
2012-03-25,55
2012-04-01,56
2012-04-08,67
2012-04-15,52
2012-04-22,50
2012-04-29,54
2012-05-06,52
2012-05-13,61
2012-05-20,49
2012-05-27,51
2012-06-03,49
2012-06-10,49
2012-06-17,48
2012-06-24,50
2012-07-01,55
2012-07-08,48
2012-07-15,41
2012-07-22,41
2012-07-29,40
2012-08-05,42
2012-08-12,35
2012-08-19,38
2012-08-26,36
2012-09-02,43
2012-09-09,42
2012-09-16,37
2012-09-23,39
2012-09-30,37
2012-10-07,37
2012-10-14,40
2012-10-21,39
2012-10-28,38
2012-11-04,37
2012-11-11,41
2012-11-18,37
2012-11-25,37
2012-12-02,36
2012-12-09,32
2012-12-16,34
2012-12-23,42
2012-12-30,50
