date,unemployment rate
2008-01-06,21
2008-01-13,24
2008-01-20,20
2008-01-27,25
2008-02-03,20
2008-02-10,18
2008-02-17,23
2008-02-24,22
2008-03-02,22
2008-03-09,18
2008-03-16,19
2008-03-23,21
2008-03-30,25
2008-04-06,22
2008-04-13,23
2008-04-20,22
2008-04-27,21
2008-05-04,20
2008-05-11,18
2008-05-18,15
2008-05-25,15
2008-06-01,23
2008-06-08,21
2008-06-15,16
2008-06-22,14
2008-06-29,14
2008-07-06,16
2008-07-13,16
2008-07-20,15
2008-07-27,18
2008-08-03,15
2008-08-10,14
2008-08-17,11
2008-08-24,19
2008-08-31,33
2008-09-07,29
2008-09-14,36
2008-09-21,37
2008-09-28,39
2008-10-05,45
2008-10-12,35
2008-10-19,42
2008-10-26,44
2008-11-02,55
2008-11-09,51
2008-11-16,87
2008-11-23,44
2008-11-30,66
2008-12-07,58
2008-12-14,47
2008-12-21,26
2008-12-28,26
2009-01-04,65
2009-01-11,57
2009-01-18,61
2009-01-25,79
2009-02-01,87
2009-02-08,78
2009-02-15,69
2009-02-22,71
2009-03-01,93
2009-03-08,79
2009-03-15,67
2009-03-22,66
2009-03-29,76
2009-04-05,58
2009-04-12,65
2009-04-19,62
2009-04-26,79
2009-05-03,63
2009-05-10,49
2009-05-17,55
2009-05-24,45
2009-05-31,64
2009-06-07,55
2009-06-14,56
2009-06-21,50
2009-06-28,64
2009-07-05,57
2009-07-12,72
2009-07-19,56
2009-07-26,52
2009-08-02,62
2009-08-09,43
2009-08-16,45
2009-08-23,44
2009-08-30,61
2009-09-06,56
2009-09-13,62
2009-09-20,71
2009-09-27,72
2009-10-04,68
2009-10-11,62
2009-10-18,64
2009-10-25,56
2009-11-01,91
2009-11-08,71
2009-11-15,69
2009-11-22,51
2009-11-29,74
2009-12-06,57
2009-12-13,54
2009-12-20,31
2009-12-27,32
2010-01-03,56
2010-01-10,53
2010-01-17,59
2010-01-24,60
2010-01-31,64
2010-02-07,51
2010-02-14,48
2010-02-21,55
2010-02-28,64
2010-03-07,56
2010-03-14,47
2010-03-21,51
2010-03-28,53
2010-04-04,47
2010-04-11,51
2010-04-18,50
2010-04-25,50
2010-05-02,53
2010-05-09,45
2010-05-16,44
2010-05-23,38
2010-05-30,37
2010-06-06,33
2010-06-13,32
2010-06-20,34
2010-06-27,45
2010-07-04,35
2010-07-11,39
2010-07-18,49
2010-07-25,36
2010-08-01,36
2010-08-08,37
2010-08-15,37
2010-08-22,33
2010-08-29,42
2010-09-05,37
2010-09-12,38
2010-09-19,46
2010-09-26,43
2010-10-03,49
2010-10-10,44
2010-10-17,44
2010-10-24,45
2010-10-31,52
2010-11-07,41
2010-11-14,41
2010-11-21,31
2010-11-28,49
2010-12-05,53
2010-12-12,41
2010-12-19,26
2010-12-26,25
2011-01-02,47
2011-01-09,39
2011-01-16,40
2011-01-23,46
2011-01-30,45
2011-02-06,45
2011-02-13,42
2011-02-20,37
2011-02-27,50
2011-03-06,45
2011-03-13,37
2011-03-20,38
2011-03-27,46
2011-04-03,46
2011-04-10,47
2011-04-17,45
2011-04-24,44
2011-05-01,49
2011-05-08,42
2011-05-15,37
2011-05-22,36
2011-05-29,40
2011-06-05,39
2011-06-12,39
2011-06-19,34
2011-06-26,34
2011-07-03,45
2011-07-10,40
2011-07-17,36
2011-07-24,37
2011-07-31,45
2011-08-07,39
2011-08-14,43
2011-08-21,35
2011-08-28,40
2011-09-04,48
2011-09-11,46
2011-09-18,43
2011-09-25,44
2011-10-02,51
2011-10-09,52
2011-10-16,52
2011-10-23,46
2011-10-30,46
2011-11-06,52
2011-11-13,47
2011-11-20,36
2011-11-27,54
2011-12-04,51
2011-12-11,47
2011-12-18,31
2011-12-25,25
2012-01-01,52
2012-01-08,45
2012-01-15,42
2012-01-22,59
2012-01-29,59
2012-02-05,50
2012-02-12,48
2012-02-19,46
2012-02-26,48
2012-03-04,53
2012-03-11,38
2012-03-18,37
2012-03-25,39
2012-04-01,44
2012-04-08,44
2012-04-15,45
2012-04-22,46
2012-04-29,51
2012-05-06,42
2012-05-13,37
2012-05-20,35
2012-05-27,41
2012-06-03,37
2012-06-10,36
2012-06-17,33
2012-06-24,32
2012-07-01,41
2012-07-08,40
2012-07-15,36
2012-07-22,34
2012-07-29,44
2012-08-05,34
2012-08-12,41
2012-08-19,33
2012-08-26,46
2012-09-02,89
2012-09-09,52
2012-09-16,50
2012-09-23,46
2012-09-30,100
2012-10-07,72
2012-10-14,71
2012-10-21,57
2012-10-28,77
2012-11-04,83
2012-11-11,50
2012-11-18,33
2012-11-25,41
2012-12-02,52
2012-12-09,42
2012-12-16,28
2012-12-23,20
2012-12-30,38
