date,unemployed
2012-01-01,71
2012-01-08,74
2012-01-15,80
2012-01-22,93
2012-01-29,92
2012-02-05,78
2012-02-12,77
2012-02-19,79
2012-02-26,71
2012-03-04,68
2012-03-11,64
2012-03-18,60
2012-03-25,76
2012-04-01,65
2012-04-08,69
2012-04-15,70
2012-04-22,71
2012-04-29,68
2012-05-06,68
2012-05-13,60
2012-05-20,66
2012-05-27,61
2012-06-03,64
2012-06-10,61
2012-06-17,64
2012-06-24,76
2012-07-01,60
2012-07-08,61
2012-07-15,62
2012-07-22,68
2012-07-29,64
2012-08-05,62
2012-08-12,58
2012-08-19,60
2012-08-26,70
2012-09-02,90
2012-09-09,72
2012-09-16,76
2012-09-23,75
2012-09-30,95
2012-10-07,76
2012-10-14,95
2012-10-21,70
2012-10-28,70
2012-11-04,100
2012-11-11,76
2012-11-18,60
2012-11-25,70
2012-12-02,69
2012-12-09,69
2012-12-16,55
2012-12-23,44
2012-12-30,61
2013-01-06,68
2013-01-13,66
2013-01-20,67
2013-01-27,72
2013-02-03,65
2013-02-10,68
2013-02-17,61
2013-02-24,60
2013-03-03,65
2013-03-10,61
2013-03-17,62
2013-03-24,61
2013-03-31,62
2013-04-07,65
2013-04-14,61
2013-04-21,55
2013-04-28,63
2013-05-05,62
2013-05-12,56
2013-05-19,51
2013-05-26,54
2013-06-02,50
2013-06-09,53
2013-06-16,49
2013-06-23,57
2013-06-30,57
2013-07-07,53
2013-07-14,56
2013-07-21,51
2013-07-28,56
2013-08-04,51
2013-08-11,51
2013-08-18,57
2013-08-25,52
2013-09-01,53
2013-09-08,52
2013-09-15,64
2013-09-22,73
2013-09-29,92
2013-10-06,69
2013-10-13,63
2013-10-20,70
2013-10-27,67
2013-11-03,66
2013-11-10,61
2013-11-17,67
2013-11-24,53
2013-12-01,66
2013-12-08,65
2013-12-15,64
2013-12-22,57
2013-12-29,57
2014-01-05,71
2014-01-12,70
2014-01-19,69
2014-01-26,84
2014-02-02,76
2014-02-09,70
2014-02-16,63
2014-02-23,65
2014-03-02,63
2014-03-09,70
2014-03-16,72
2014-03-23,77
2014-03-30,87
2014-04-06,65
2014-04-13,61
2014-04-20,56
2014-04-27,60
2014-05-04,56
2014-05-11,55
2014-05-18,54
2014-05-25,51
2014-06-01,50
2014-06-08,45
2014-06-15,48
2014-06-22,46
2014-06-29,45
2014-07-06,50
2014-07-13,48
2014-07-20,51
2014-07-27,50
2014-08-03,45
2014-08-10,41
2014-08-17,59
2014-08-24,44
2014-08-31,48
2014-09-07,47
2014-09-14,49
2014-09-21,50
2014-09-28,51
2014-10-05,52
2014-10-12,52
2014-10-19,52
2014-10-26,50
2014-11-02,51
2014-11-09,54
2014-11-16,55
2014-11-23,43
2014-11-30,58
2014-12-07,57
2014-12-14,50
2014-12-21,33
2014-12-28,43
2015-01-04,52
2015-01-11,55
2015-01-18,55
2015-01-25,59
2015-02-01,59
2015-02-08,57
2015-02-15,55
2015-02-22,51
2015-03-01,54
2015-03-08,53
2015-03-15,50
2015-03-22,54
2015-03-29,51
2015-04-05,49
2015-04-12,56
2015-04-19,46
2015-04-26,50
2015-05-03,45
2015-05-10,45
2015-05-17,46
2015-05-24,39
2015-05-31,45
2015-06-07,40
2015-06-14,42
2015-06-21,38
2015-06-28,38
2015-07-05,44
2015-07-12,42
2015-07-19,43
2015-07-26,38
2015-08-02,49
2015-08-09,40
2015-08-16,40
2015-08-23,43
2015-08-30,46
2015-09-06,43
2015-09-13,44
2015-09-20,54
2015-09-27,43
2015-10-04,49
2015-10-11,47
2015-10-18,52
2015-10-25,45
2015-11-01,53
2015-11-08,56
2015-11-15,54
2015-11-22,42
2015-11-29,48
2015-12-06,56
2015-12-13,51
2015-12-20,33
2015-12-27,33
2016-01-03,52
2016-01-10,58
2016-01-17,63
2016-01-24,64
2016-01-31,65
2016-02-07,58
2016-02-14,57
2016-02-21,64
2016-02-28,61
2016-03-06,60
2016-03-13,58
2016-03-20,52
2016-03-27,51
2016-04-03,56
2016-04-10,59
2016-04-17,52
2016-04-24,55
2016-05-01,51
2016-05-08,53
2016-05-15,50
2016-05-22,44
2016-05-29,46
2016-06-05,46
2016-06-12,39
2016-06-19,45
2016-06-26,43
2016-07-03,36
2016-07-10,45
2016-07-17,44
2016-07-24,44
2016-07-31,43
2016-08-07,40
2016-08-14,38
2016-08-21,46
2016-08-28,40
2016-09-04,43
2016-09-11,44
2016-09-18,45
2016-09-25,50
2016-10-02,51
2016-10-09,48
2016-10-16,49
2016-10-23,51
2016-10-30,55
2016-11-06,60
2016-11-13,55
2016-11-20,41
2016-11-27,59
2016-12-04,60
2016-12-11,57
2016-12-18,44
2016-12-25,37
