date,file unemployment
2012-01-01,94
2012-01-08,90
2012-01-15,91
2012-01-22,100
2012-01-29,94
2012-02-05,75
2012-02-12,73
2012-02-19,67
2012-02-26,68
2012-03-04,66
2012-03-11,68
2012-03-18,73
2012-03-25,63
2012-04-01,65
2012-04-08,65
2012-04-15,70
2012-04-22,66
2012-04-29,61
2012-05-06,63
2012-05-13,61
2012-05-20,58
2012-05-27,60
2012-06-03,66
2012-06-10,67
2012-06-17,66
2012-06-24,67
2012-07-01,78
2012-07-08,69
2012-07-15,71
2012-07-22,65
2012-07-29,67
2012-08-05,65
2012-08-12,70
2012-08-19,67
2012-08-26,60
2012-09-02,65
2012-09-09,61
2012-09-16,69
2012-09-23,57
2012-09-30,71
2012-10-07,63
2012-10-14,67
2012-10-21,61
2012-10-28,60
2012-11-04,71
2012-11-11,74
2012-11-18,56
2012-11-25,66
2012-12-02,70
2012-12-09,68
2012-12-16,67
2012-12-23,62
2012-12-30,97
2013-01-06,88
2013-01-13,88
2013-01-20,86
2013-01-27,82
2013-02-03,73
2013-02-10,67
2013-02-17,66
2013-02-24,60
2013-03-03,61
2013-03-10,56
2013-03-17,54
2013-03-24,61
2013-03-31,64
2013-04-07,63
2013-04-14,65
2013-04-21,55
2013-04-28,60
2013-05-05,56
2013-05-12,55
2013-05-19,57
2013-05-26,60
2013-06-02,58
2013-06-09,62
2013-06-16,62
2013-06-23,68
2013-06-30,64
2013-07-07,68
2013-07-14,63
2013-07-21,61
2013-07-28,60
2013-08-04,56
2013-08-11,57
2013-08-18,62
2013-08-25,56
2013-09-01,63
2013-09-08,58
2013-09-15,53
2013-09-22,59
2013-09-29,91
2013-10-06,76
2013-10-13,60
2013-10-20,59
2013-10-27,65
2013-11-03,61
2013-11-10,62
2013-11-17,60
2013-11-24,47
2013-12-01,59
2013-12-08,58
2013-12-15,62
2013-12-22,63
2013-12-29,76
2014-01-05,86
2014-01-12,80
2014-01-19,79
2014-01-26,84
2014-02-02,70
2014-02-09,59
2014-02-16,56
2014-02-23,56
2014-03-02,58
2014-03-09,56
2014-03-16,51
2014-03-23,51
2014-03-30,57
2014-04-06,55
2014-04-13,58
2014-04-20,50
2014-04-27,55
2014-05-04,53
2014-05-11,47
2014-05-18,48
2014-05-25,45
2014-06-01,51
2014-06-08,50
2014-06-15,50
2014-06-22,53
2014-06-29,50
2014-07-06,55
2014-07-13,51
2014-07-20,56
2014-07-27,49
2014-08-03,49
2014-08-10,46
2014-08-17,44
2014-08-24,43
2014-08-31,42
2014-09-07,40
2014-09-14,40
2014-09-21,43
2014-09-28,45
2014-10-05,45
2014-10-12,45
2014-10-19,45
2014-10-26,40
2014-11-02,45
2014-11-09,41
2014-11-16,48
2014-11-23,38
2014-11-30,47
2014-12-07,46
2014-12-14,47
2014-12-21,42
2014-12-28,56
2015-01-04,63
2015-01-11,57
2015-01-18,64
2015-01-25,57
2015-02-01,58
2015-02-08,52
2015-02-15,47
2015-02-22,42
2015-03-01,49
2015-03-08,43
2015-03-15,48
2015-03-22,43
2015-03-29,49
2015-04-05,45
2015-04-12,56
2015-04-19,43
2015-04-26,42
2015-05-03,44
2015-05-10,44
2015-05-17,48
2015-05-24,44
2015-05-31,49
2015-06-07,50
2015-06-14,48
2015-06-21,50
2015-06-28,52
2015-07-05,55
2015-07-12,53
2015-07-19,55
2015-07-26,51
2015-08-02,49
2015-08-09,49
2015-08-16,47
2015-08-23,45
2015-08-30,49
2015-09-06,42
2015-09-13,45
2015-09-20,41
2015-09-27,47
2015-10-04,48
2015-10-11,49
2015-10-18,49
2015-10-25,44
2015-11-01,45
2015-11-08,49
2015-11-15,47
2015-11-22,41
2015-11-29,48
2015-12-06,50
2015-12-13,50
2015-12-20,47
2015-12-27,52
2016-01-03,68
2016-01-10,64
2016-01-17,60
2016-01-24,62
2016-01-31,63
2016-02-07,56
2016-02-14,54
2016-02-21,50
2016-02-28,52
2016-03-06,48
2016-03-13,44
2016-03-20,47
2016-03-27,50
2016-04-03,49
2016-04-10,53
2016-04-17,45
2016-04-24,46
2016-05-01,49
2016-05-08,45
2016-05-15,45
2016-05-22,49
2016-05-29,49
2016-06-05,50
2016-06-12,51
2016-06-19,50
2016-06-26,53
2016-07-03,50
2016-07-10,50
2016-07-17,52
2016-07-24,47
2016-07-31,47
2016-08-07,44
2016-08-14,46
2016-08-21,49
2016-08-28,42
2016-09-04,47
2016-09-11,47
2016-09-18,45
2016-09-25,42
2016-10-02,46
2016-10-09,43
2016-10-16,45
2016-10-23,46
2016-10-30,47
2016-11-06,44
2016-11-13,50
2016-11-20,41
2016-11-27,52
2016-12-04,52
2016-12-11,49
2016-12-18,50
2016-12-25,56
