date,texas unemployment
2012-01-01,100
2012-01-08,94
2012-01-15,90
2012-01-22,88
2012-01-29,87
2012-02-05,69
2012-02-12,69
2012-02-19,71
2012-02-26,71
2012-03-04,67
2012-03-11,68
2012-03-18,68
2012-03-25,63
2012-04-01,73
2012-04-08,66
2012-04-15,71
2012-04-22,65
2012-04-29,73
2012-05-06,69
2012-05-13,73
2012-05-20,70
2012-05-27,72
2012-06-03,69
2012-06-10,76
2012-06-17,66
2012-06-24,72
2012-07-01,72
2012-07-08,81
2012-07-15,72
2012-07-22,73
2012-07-29,70
2012-08-05,64
2012-08-12,71
2012-08-19,68
2012-08-26,67
2012-09-02,66
2012-09-09,63
2012-09-16,60
2012-09-23,62
2012-09-30,70
2012-10-07,67
2012-10-14,69
2012-10-21,62
2012-10-28,68
2012-11-04,72
2012-11-11,70
2012-11-18,60
2012-11-25,73
2012-12-02,69
2012-12-09,64
2012-12-16,61
2012-12-23,70
2012-12-30,94
2013-01-06,85
2013-01-13,78
2013-01-20,78
2013-01-27,74
2013-02-03,73
2013-02-10,68
2013-02-17,63
2013-02-24,66
2013-03-03,65
2013-03-10,61
2013-03-17,62
2013-03-24,63
2013-03-31,67
2013-04-07,66
2013-04-14,64
2013-04-21,65
2013-04-28,67
2013-05-05,64
2013-05-12,64
2013-05-19,65
2013-05-26,71
2013-06-02,67
2013-06-09,70
2013-06-16,75
2013-06-23,74
2013-06-30,73
2013-07-07,78
2013-07-14,76
2013-07-21,85
2013-07-28,73
2013-08-04,73
2013-08-11,74
2013-08-18,72
2013-08-25,62
2013-09-01,68
2013-09-08,66
2013-09-15,63
2013-09-22,71
2013-09-29,79
2013-10-06,68
2013-10-13,67
2013-10-20,67
2013-10-27,65
2013-11-03,65
2013-11-10,67
2013-11-17,64
2013-11-24,51
2013-12-01,64
2013-12-08,66
2013-12-15,67
2013-12-22,62
2013-12-29,74
2014-01-05,87
2014-01-12,78
2014-01-19,69
2014-01-26,71
2014-02-02,60
2014-02-09,51
2014-02-16,53
2014-02-23,51
2014-03-02,56
2014-03-09,54
2014-03-16,50
2014-03-23,53
2014-03-30,52
2014-04-06,52
2014-04-13,48
2014-04-20,47
2014-04-27,49
2014-05-04,47
2014-05-11,48
2014-05-18,48
2014-05-25,49
2014-06-01,48
2014-06-08,44
2014-06-15,49
2014-06-22,51
2014-06-29,47
2014-07-06,46
2014-07-13,48
2014-07-20,51
2014-07-27,51
2014-08-03,53
2014-08-10,46
2014-08-17,42
2014-08-24,42
2014-08-31,46
2014-09-07,44
2014-09-14,41
2014-09-21,41
2014-09-28,39
2014-10-05,38
2014-10-12,38
2014-10-19,42
2014-10-26,37
2014-11-02,40
2014-11-09,40
2014-11-16,41
2014-11-23,32
2014-11-30,42
2014-12-07,37
2014-12-14,44
2014-12-21,33
2014-12-28,40
2015-01-04,52
2015-01-11,52
2015-01-18,52
2015-01-25,54
2015-02-01,50
2015-02-08,45
2015-02-15,45
2015-02-22,42
2015-03-01,45
2015-03-08,44
2015-03-15,42
2015-03-22,45
2015-03-29,45
2015-04-05,47
2015-04-12,48
2015-04-19,47
2015-04-26,48
2015-05-03,47
2015-05-10,48
2015-05-17,51
2015-05-24,48
2015-05-31,51
2015-06-07,48
2015-06-14,52
2015-06-21,51
2015-06-28,55
2015-07-05,57
2015-07-12,53
2015-07-19,58
2015-07-26,57
2015-08-02,55
2015-08-09,51
2015-08-16,47
2015-08-23,52
2015-08-30,54
2015-09-06,51
2015-09-13,50
2015-09-20,48
2015-09-27,56
2015-10-04,50
2015-10-11,53
2015-10-18,48
2015-10-25,47
2015-11-01,50
2015-11-08,45
2015-11-15,65
2015-11-22,40
2015-11-29,47
2015-12-06,49
2015-12-13,42
2015-12-20,36
2015-12-27,43
2016-01-03,59
2016-01-10,53
2016-01-17,59
2016-01-24,60
2016-01-31,54
2016-02-07,50
2016-02-14,50
2016-02-21,49
2016-02-28,51
2016-03-06,49
2016-03-13,46
2016-03-20,47
2016-03-27,51
2016-04-03,49
2016-04-10,52
2016-04-17,53
2016-04-24,49
2016-05-01,47
2016-05-08,50
2016-05-15,51
2016-05-22,50
2016-05-29,50
2016-06-05,50
2016-06-12,51
2016-06-19,58
2016-06-26,52
2016-07-03,53
2016-07-10,55
2016-07-17,54
2016-07-24,55
2016-07-31,54
2016-08-07,52
2016-08-14,49
2016-08-21,54
2016-08-28,51
2016-09-04,47
2016-09-11,49
2016-09-18,47
2016-09-25,45
2016-10-02,49
2016-10-09,46
2016-10-16,47
2016-10-23,46
2016-10-30,50
2016-11-06,43
2016-11-13,49
2016-11-20,36
2016-11-27,53
2016-12-04,49
2016-12-11,47
2016-12-18,45
2016-12-25,48
