date,unemployed,isPartial
2017-01-01,19,False
2017-01-08,21,False
2017-01-15,25,False
2017-01-22,28,False
2017-01-29,27,False
2017-02-05,24,False
2017-02-12,22,False
2017-02-19,25,False
2017-02-26,28,False
2017-03-05,24,False
2017-03-12,21,False
2017-03-19,25,False
2017-03-26,23,False
2017-04-02,27,False
2017-04-09,21,False
2017-04-16,20,False
2017-04-23,22,False
2017-04-30,23,False
2017-05-07,22,False
2017-05-14,18,False
2017-05-21,20,False
2017-05-28,18,False
2017-06-04,19,False
2017-06-11,18,False
2017-06-18,21,False
2017-06-25,19,False
2017-07-02,17,False
2017-07-09,19,False
2017-07-16,19,False
2017-07-23,16,False
2017-07-30,15,False
2017-08-06,16,False
2017-08-13,13,False
2017-08-20,14,False
2017-08-27,17,False
2017-09-03,16,False
2017-09-10,19,False
2017-09-17,17,False
2017-09-24,23,False
2017-10-01,17,False
2017-10-08,19,False
2017-10-15,18,False
2017-10-22,22,False
2017-10-29,23,False
2017-11-05,20,False
2017-11-12,20,False
2017-11-19,15,False
2017-11-26,20,False
2017-12-03,18,False
2017-12-10,21,False
2017-12-17,17,False
2017-12-24,11,False
2017-12-31,14,False
2018-01-07,18,False
2018-01-14,18,False
2018-01-21,19,False
2018-01-28,21,False
2018-02-04,23,False
2018-02-11,20,False
2018-02-18,19,False
2018-02-25,20,False
2018-03-04,22,False
2018-03-11,19,False
2018-03-18,17,False
2018-03-25,17,False
2018-04-01,19,False
2018-04-08,20,False
2018-04-15,20,False
2018-04-22,17,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,17,False
2018-05-20,17,False
2018-05-27,16,False
2018-06-03,18,False
2018-06-10,18,False
2018-06-17,13,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,12,False
2018-07-15,15,False
2018-07-22,13,False
2018-07-29,15,False
2018-08-05,14,False
2018-08-12,12,False
2018-08-19,14,False
2018-08-26,14,False
2018-09-02,12,False
2018-09-09,15,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,19,False
2018-10-07,17,False
2018-10-14,21,False
2018-10-21,17,False
2018-10-28,20,False
2018-11-04,18,False
2018-11-11,15,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,16,False
2018-12-23,10,False
2018-12-30,12,False
2019-01-06,19,False
2019-01-13,19,False
2019-01-20,16,False
2019-01-27,24,False
2019-02-03,21,False
2019-02-10,20,False
2019-02-17,19,False
2019-02-24,18,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,17,False
2019-03-24,20,False
2019-03-31,18,False
2019-04-07,19,False
2019-04-14,19,False
2019-04-21,17,False
2019-04-28,20,False
2019-05-05,16,False
2019-05-12,16,False
2019-05-19,13,False
2019-05-26,13,False
2019-06-02,14,False
2019-06-09,14,False
2019-06-16,16,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,14,False
2019-07-14,13,False
2019-07-21,16,False
2019-07-28,15,False
2019-08-04,14,False
2019-08-11,13,False
2019-08-18,13,False
2019-08-25,13,False
2019-09-01,13,False
2019-09-08,14,False
2019-09-15,15,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,18,False
2019-10-13,15,False
2019-10-20,16,False
2019-10-27,15,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,17,False
2019-11-24,12,False
2019-12-01,18,False
2019-12-08,16,False
2019-12-15,15,False
2019-12-22,10,False
2019-12-29,10,False
2020-01-05,15,False
2020-01-12,17,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,18,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,18,False
2020-03-08,20,False
2020-03-15,60,False
2020-03-22,92,False
2020-03-29,100,False
2020-04-05,84,False
2020-04-12,90,False
2020-04-19,74,False
2020-04-26,68,False
2020-05-03,61,False
2020-05-10,53,False
2020-05-17,51,False
2020-05-24,42,False
2020-05-31,41,False
2020-06-07,36,False
2020-06-14,34,False
2020-06-21,35,False
2020-06-28,41,False
2020-07-05,34,False
2020-07-12,36,False
2020-07-19,35,False
2020-07-26,40,False
2020-08-02,40,False
2020-08-09,40,True
