date,unemployment rate,isPartial
2017-01-01,15,False
2017-01-08,18,False
2017-01-15,31,False
2017-01-22,32,False
2017-01-29,22,False
2017-02-05,19,False
2017-02-12,20,False
2017-02-19,20,False
2017-02-26,23,False
2017-03-05,22,False
2017-03-12,19,False
2017-03-19,18,False
2017-03-26,17,False
2017-04-02,21,False
2017-04-09,18,False
2017-04-16,19,False
2017-04-23,22,False
2017-04-30,24,False
2017-05-07,19,False
2017-05-14,15,False
2017-05-21,14,False
2017-05-28,17,False
2017-06-04,14,False
2017-06-11,13,False
2017-06-18,11,False
2017-06-25,12,False
2017-07-02,13,False
2017-07-09,12,False
2017-07-16,12,False
2017-07-23,12,False
2017-07-30,15,False
2017-08-06,12,False
2017-08-13,10,False
2017-08-20,10,False
2017-08-27,12,False
2017-09-03,12,False
2017-09-10,13,False
2017-09-17,17,False
2017-09-24,16,False
2017-10-01,16,False
2017-10-08,17,False
2017-10-15,18,False
2017-10-22,18,False
2017-10-29,21,False
2017-11-05,18,False
2017-11-12,18,False
2017-11-19,13,False
2017-11-26,19,False
2017-12-03,23,False
2017-12-10,18,False
2017-12-17,15,False
2017-12-24,10,False
2017-12-31,18,False
2018-01-07,20,False
2018-01-14,22,False
2018-01-21,24,False
2018-01-28,35,False
2018-02-04,20,False
2018-02-11,17,False
2018-02-18,16,False
2018-02-25,19,False
2018-03-04,19,False
2018-03-11,16,False
2018-03-18,19,False
2018-03-25,18,False
2018-04-01,20,False
2018-04-08,19,False
2018-04-15,17,False
2018-04-22,23,False
2018-04-29,25,False
2018-05-06,22,False
2018-05-13,17,False
2018-05-20,14,False
2018-05-27,20,False
2018-06-03,19,False
2018-06-10,17,False
2018-06-17,16,False
2018-06-24,15,False
2018-07-01,14,False
2018-07-08,15,False
2018-07-15,15,False
2018-07-22,15,False
2018-07-29,15,False
2018-08-05,15,False
2018-08-12,15,False
2018-08-19,13,False
2018-08-26,13,False
2018-09-02,17,False
2018-09-09,20,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,27,False
2018-10-07,25,False
2018-10-14,21,False
2018-10-21,20,False
2018-10-28,28,False
2018-11-04,24,False
2018-11-11,20,False
2018-11-18,12,False
2018-11-25,19,False
2018-12-02,21,False
2018-12-09,20,False
2018-12-16,16,False
2018-12-23,10,False
2018-12-30,15,False
2019-01-06,16,False
2019-01-13,17,False
2019-01-20,18,False
2019-01-27,19,False
2019-02-03,23,False
2019-02-10,19,False
2019-02-17,17,False
2019-02-24,21,False
2019-03-03,20,False
2019-03-10,17,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,21,False
2019-04-07,20,False
2019-04-14,17,False
2019-04-21,21,False
2019-04-28,26,False
2019-05-05,21,False
2019-05-12,16,False
2019-05-19,15,False
2019-05-26,12,False
2019-06-02,14,False
2019-06-09,13,False
2019-06-16,11,False
2019-06-23,13,False
2019-06-30,12,False
2019-07-07,12,False
2019-07-14,13,False
2019-07-21,12,False
2019-07-28,14,False
2019-08-04,11,False
2019-08-11,12,False
2019-08-18,11,False
2019-08-25,13,False
2019-09-01,11,False
2019-09-08,14,False
2019-09-15,17,False
2019-09-22,18,False
2019-09-29,22,False
2019-10-06,21,False
2019-10-13,18,False
2019-10-20,19,False
2019-10-27,21,False
2019-11-03,21,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,12,False
2019-12-01,22,False
2019-12-08,21,False
2019-12-15,19,False
2019-12-22,9,False
2019-12-29,12,False
2020-01-05,16,False
2020-01-12,18,False
2020-01-19,23,False
2020-01-26,19,False
2020-02-02,32,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,54,False
2020-03-22,96,False
2020-03-29,100,False
2020-04-05,73,False
2020-04-12,66,False
2020-04-19,62,False
2020-04-26,59,False
2020-05-03,72,False
2020-05-10,52,False
2020-05-17,46,False
2020-05-24,40,False
2020-05-31,59,False
2020-06-07,35,False
2020-06-14,32,False
2020-06-21,30,False
2020-06-28,39,False
2020-07-05,31,False
2020-07-12,30,False
2020-07-19,35,False
2020-07-26,31,False
2020-08-02,31,False
2020-08-09,26,True
