date,indiana unemployment
2006-01-01,21
2006-01-08,23
2006-01-15,23
2006-01-22,24
2006-01-29,19
2006-02-05,21
2006-02-12,12
2006-02-19,17
2006-02-26,15
2006-03-05,19
2006-03-12,19
2006-03-19,15
2006-03-26,12
2006-04-02,14
2006-04-09,12
2006-04-16,11
2006-04-23,16
2006-04-30,13
2006-05-07,14
2006-05-14,20
2006-05-21,11
2006-05-28,18
2006-06-04,13
2006-06-11,16
2006-06-18,16
2006-06-25,21
2006-07-02,16
2006-07-09,13
2006-07-16,19
2006-07-23,15
2006-07-30,14
2006-08-06,14
2006-08-13,20
2006-08-20,14
2006-08-27,13
2006-09-03,14
2006-09-10,16
2006-09-17,15
2006-09-24,17
2006-10-01,14
2006-10-08,15
2006-10-15,16
2006-10-22,17
2006-10-29,25
2006-11-05,18
2006-11-12,15
2006-11-19,13
2006-11-26,17
2006-12-03,26
2006-12-10,18
2006-12-17,26
2006-12-24,30
2006-12-31,34
2007-01-07,30
2007-01-14,26
2007-01-21,28
2007-01-28,27
2007-02-04,23
2007-02-11,21
2007-02-18,31
2007-02-25,18
2007-03-04,21
2007-03-11,17
2007-03-18,24
2007-03-25,16
2007-04-01,18
2007-04-08,22
2007-04-15,18
2007-04-22,19
2007-04-29,18
2007-05-06,14
2007-05-13,17
2007-05-20,16
2007-05-27,18
2007-06-03,19
2007-06-10,15
2007-06-17,21
2007-06-24,19
2007-07-01,24
2007-07-08,24
2007-07-15,22
2007-07-22,19
2007-07-29,17
2007-08-05,18
2007-08-12,14
2007-08-19,19
2007-08-26,20
2007-09-02,14
2007-09-09,24
2007-09-16,23
2007-09-23,18
2007-09-30,24
2007-10-07,23
2007-10-14,22
2007-10-21,22
2007-10-28,22
2007-11-04,16
2007-11-11,22
2007-11-18,17
2007-11-25,25
2007-12-02,22
2007-12-09,26
2007-12-16,30
2007-12-23,25
2007-12-30,29
2008-01-06,35
2008-01-13,26
2008-01-20,31
2008-01-27,29
2008-02-03,30
2008-02-10,25
2008-02-17,25
2008-02-24,21
2008-03-02,22
2008-03-09,19
2008-03-16,20
2008-03-23,27
2008-03-30,20
2008-04-06,22
2008-04-13,19
2008-04-20,23
2008-04-27,18
2008-05-04,23
2008-05-11,24
2008-05-18,21
2008-05-25,18
2008-06-01,18
2008-06-08,26
2008-06-15,28
2008-06-22,24
2008-06-29,28
2008-07-06,32
2008-07-13,28
2008-07-20,32
2008-07-27,27
2008-08-03,32
2008-08-10,30
2008-08-17,33
2008-08-24,28
2008-08-31,26
2008-09-07,30
2008-09-14,31
2008-09-21,28
2008-09-28,31
2008-10-05,33
2008-10-12,39
2008-10-19,37
2008-10-26,38
2008-11-02,36
2008-11-09,45
2008-11-16,48
2008-11-23,47
2008-11-30,49
2008-12-07,47
2008-12-14,56
2008-12-21,50
2008-12-28,68
2009-01-04,71
2009-01-11,69
2009-01-18,70
2009-01-25,67
2009-02-01,67
2009-02-08,58
2009-02-15,69
2009-02-22,67
2009-03-01,66
2009-03-08,73
2009-03-15,73
2009-03-22,66
2009-03-29,65
2009-04-05,70
2009-04-12,77
2009-04-19,60
2009-04-26,65
2009-05-03,55
2009-05-10,59
2009-05-17,63
2009-05-24,63
2009-05-31,70
2009-06-07,60
2009-06-14,71
2009-06-21,96
2009-06-28,73
2009-07-05,79
2009-07-12,74
2009-07-19,63
2009-07-26,68
2009-08-02,65
2009-08-09,57
2009-08-16,61
2009-08-23,69
2009-08-30,64
2009-09-06,61
2009-09-13,55
2009-09-20,65
2009-09-27,54
2009-10-04,68
2009-10-11,68
2009-10-18,59
2009-10-25,57
2009-11-01,69
2009-11-08,51
2009-11-15,64
2009-11-22,66
2009-11-29,64
2009-12-06,61
2009-12-13,83
2009-12-20,76
2009-12-27,81
2010-01-03,90
2010-01-10,81
2010-01-17,81
2010-01-24,79
2010-01-31,72
2010-02-07,67
2010-02-14,70
2010-02-21,67
2010-02-28,78
2010-03-07,75
2010-03-14,59
2010-03-21,61
2010-03-28,64
2010-04-04,77
2010-04-11,70
2010-04-18,78
2010-04-25,60
2010-05-02,58
2010-05-09,49
2010-05-16,57
2010-05-23,62
2010-05-30,68
2010-06-06,59
2010-06-13,79
2010-06-20,73
2010-06-27,65
2010-07-04,61
2010-07-11,66
2010-07-18,92
2010-07-25,97
2010-08-01,100
2010-08-08,67
2010-08-15,67
2010-08-22,58
2010-08-29,51
2010-09-05,56
2010-09-12,49
2010-09-19,52
2010-09-26,53
2010-10-03,64
2010-10-10,53
2010-10-17,59
2010-10-24,51
2010-10-31,88
2010-11-07,53
2010-11-14,48
2010-11-21,51
2010-11-28,57
2010-12-05,57
2010-12-12,62
2010-12-19,67
2010-12-26,67
